account_id,customer_id,account_type,balance,currency,status,kyc_status,created_at
ACC_0001,CUST_0589,Savings,82534.54,INR,Active,Verified,2025-05-26 08:25:03
ACC_0002,CUST_0519,Savings,520621.38,INR,Active,Verified,2025-11-26 16:40:16
ACC_0003,CUST_0390,Current,401169.14,INR,Active,Verified,2025-06-25 21:43:52
ACC_0004,CUST_0981,Current,540312.85,INR,Active,Verified,2026-03-17 04:25:09
ACC_0005,CUST_0021,Savings,1198962.89,INR,Active,Verified,2026-03-10 05:58:52
ACC_0006,CUST_0342,Current,250423.93,INR,Active,Verified,2026-01-27 02:01:40
ACC_0007,CUST_0853,Savings,1202162.9,INR,Active,Verified,2026-01-21 02:53:17
ACC_0008,CUST_0942,Savings,1073690.86,INR,Active,Verified,2025-08-13 05:29:14
ACC_0009,CUST_0142,Savings,869300.84,INR,Active,Verified,2025-08-15 02:53:56
ACC_0010,CUST_0055,CreditCard,1285763.2,INR,Active,Verified,2025-11-29 05:49:06
ACC_0011,CUST_0059,Savings,1357245.09,INR,Active,Verified,2026-03-16 21:39:43
ACC_0012,CUST_0641,Savings,175718.16,INR,Active,Verified,2025-09-17 18:00:50
ACC_0013,CUST_0844,CreditCard,1229538.25,INR,Active,Verified,2025-09-21 04:49:51
ACC_0014,CUST_0576,CreditCard,285324.27,INR,Active,Verified,2025-08-02 19:49:27
ACC_0015,CUST_0687,Current,1398791.2,INR,Active,Verified,2025-07-16 04:00:17
ACC_0016,CUST_0740,Savings,1228644.05,INR,Active,Verified,2025-10-12 04:54:40
ACC_0017,CUST_0961,CreditCard,286531.8,INR,Active,Verified,2025-06-12 08:53:57
ACC_0018,CUST_0795,Savings,1389051.27,INR,Active,Verified,2025-07-22 16:52:36
ACC_0019,CUST_0775,Current,149529.45,INR,Active,Verified,2025-08-14 01:36:09
ACC_0020,CUST_0407,Current,1343785.59,INR,Active,Verified,2025-06-11 10:27:12
ACC_0021,CUST_0791,Current,413723.28,INR,Active,Verified,2025-05-17 01:51:34
ACC_0022,CUST_0905,Savings,1163300.82,INR,Active,Verified,2025-08-01 20:02:14
ACC_0023,CUST_0984,CreditCard,702873.66,INR,Active,Verified,2025-09-07 22:28:10
ACC_0024,CUST_0592,Savings,1264519.99,INR,Active,Verified,2026-02-28 08:29:50
ACC_0025,CUST_0883,CreditCard,159892.51,INR,Active,Verified,2025-05-31 19:16:01
ACC_0026,CUST_0530,CreditCard,261333.86,INR,Active,Verified,2026-01-19 05:57:24
ACC_0027,CUST_0182,CreditCard,1024523.55,INR,Active,Verified,2026-02-06 17:56:15
ACC_0028,CUST_0842,Current,1405876.95,INR,Active,Verified,2026-03-20 17:13:11
ACC_0029,CUST_0335,Current,1184790.05,INR,Active,Verified,2026-01-28 19:19:48
ACC_0030,CUST_0982,CreditCard,180004.6,INR,Active,Verified,2026-03-10 02:07:56
ACC_0031,CUST_0876,Current,682279.56,INR,Active,Verified,2025-04-30 12:05:39
ACC_0032,CUST_0819,Current,422661.38,INR,Active,Verified,2025-09-02 12:55:33
ACC_0033,CUST_0583,Current,1407048.37,INR,Active,Verified,2025-09-21 07:16:57
ACC_0034,CUST_0093,Savings,1474333.55,INR,Active,Verified,2025-06-15 00:28:04
ACC_0035,CUST_0301,Savings,1002863.03,INR,Active,Verified,2026-02-17 20:43:46
ACC_0036,CUST_0081,Current,508593.76,INR,Active,Verified,2025-05-29 18:35:46
ACC_0037,CUST_0052,Current,1258153.0,INR,Active,Verified,2025-05-11 09:53:59
ACC_0038,CUST_0629,Savings,329368.66,INR,Active,Verified,2025-07-31 00:44:40
ACC_0039,CUST_0111,Savings,386352.46,INR,Active,Verified,2025-07-20 16:52:06
ACC_0040,CUST_0362,Savings,1310846.72,INR,Active,Verified,2025-06-09 10:30:17
ACC_0041,CUST_0293,CreditCard,534838.25,INR,Active,Verified,2025-09-17 16:09:54
ACC_0042,CUST_0274,Savings,665112.24,INR,Active,Verified,2025-11-08 11:18:38
ACC_0043,CUST_0675,Savings,415164.11,INR,Active,Verified,2025-06-23 10:20:32
ACC_0044,CUST_0194,Savings,512328.79,INR,Active,Verified,2025-11-13 20:09:25
ACC_0045,CUST_0766,Current,692999.08,INR,Active,Verified,2026-01-20 06:59:02
ACC_0046,CUST_0693,Savings,21001.42,INR,Active,Verified,2025-04-11 03:24:08
ACC_0047,CUST_0287,Savings,404495.27,INR,Active,Verified,2025-04-18 07:09:48
ACC_0048,CUST_0957,Savings,1377938.68,INR,Active,Verified,2025-11-11 13:07:01
ACC_0049,CUST_0373,Current,481462.65,INR,Active,Verified,2025-09-18 00:46:35
ACC_0050,CUST_0291,Savings,1321889.31,INR,Active,Verified,2025-08-08 04:40:55
ACC_0051,CUST_0708,CreditCard,1206534.33,INR,Active,Verified,2025-11-20 02:02:49
ACC_0052,CUST_0579,CreditCard,1158492.34,INR,Active,Verified,2026-03-18 10:39:53
ACC_0053,CUST_0973,Current,395300.86,INR,Active,Verified,2025-04-16 15:37:48
ACC_0054,CUST_0563,CreditCard,89637.61,INR,Active,Verified,2025-11-04 23:15:30
ACC_0055,CUST_0945,Current,528683.27,INR,Active,Verified,2026-03-21 01:03:20
ACC_0056,CUST_0719,CreditCard,136978.11,INR,Active,Verified,2026-01-24 09:14:10
ACC_0057,CUST_0408,Savings,230304.04,INR,Active,Verified,2025-08-19 11:59:20
ACC_0058,CUST_0025,Savings,184198.34,INR,Active,Verified,2026-01-12 07:59:00
ACC_0059,CUST_0248,Savings,1468172.31,INR,Active,Verified,2025-10-06 16:26:50
ACC_0060,CUST_0591,Savings,600949.17,INR,Active,Verified,2025-04-15 08:36:14
ACC_0061,CUST_0813,Current,1336472.52,INR,Active,Verified,2025-05-22 03:19:29
ACC_0062,CUST_0941,CreditCard,539912.97,INR,Active,Verified,2025-07-16 13:32:00
ACC_0063,CUST_0735,CreditCard,42228.42,INR,Active,Verified,2025-09-09 20:12:13
ACC_0064,CUST_0403,Savings,527270.54,INR,Active,Verified,2025-04-10 08:03:32
ACC_0065,CUST_0575,Current,1129207.36,INR,Active,Verified,2025-09-29 12:05:19
ACC_0066,CUST_0728,CreditCard,39819.42,INR,Active,Verified,2025-05-13 10:09:55
ACC_0067,CUST_0082,CreditCard,1052626.46,INR,Active,Verified,2025-04-03 15:45:13
ACC_0068,CUST_0839,Savings,1050948.01,INR,Active,Verified,2025-12-24 23:12:43
ACC_0069,CUST_0435,Current,324844.66,INR,Active,Verified,2025-10-14 10:26:01
ACC_0070,CUST_0883,CreditCard,747504.35,INR,Active,Verified,2025-05-31 19:16:01
ACC_0071,CUST_0714,CreditCard,1366768.21,INR,Active,Verified,2025-10-27 05:20:47
ACC_0072,CUST_0799,Current,1350725.45,INR,Active,Verified,2025-12-23 07:05:42
