card_id,account_id,card_number_masked,card_type,card_network,expiry_date,status,daily_limit
CARD_0001,ACC_0908,xxxx-xxxx-xxxx-9232,Credit,Amex,2027-01-10,Active,100000.0
CARD_0002,ACC_0400,xxxx-xxxx-xxxx-5448,Debit,Mastercard,2028-03-17,Active,100000.0
CARD_0003,ACC_0388,xxxx-xxxx-xxxx-3280,Credit,Mastercard,2027-06-28,Active,100000.0
CARD_0004,ACC_0318,xxxx-xxxx-xxxx-8160,Debit,Amex,2028-06-13,Active,100000.0
CARD_0005,ACC_0746,xxxx-xxxx-xxxx-9217,Debit,Visa,2028-01-21,Active,100000.0
CARD_0006,ACC_0611,xxxx-xxxx-xxxx-7854,Debit,Amex,2026-11-24,Active,100000.0
CARD_0007,ACC_0486,xxxx-xxxx-xxxx-7301,Debit,Visa,2030-04-10,Active,100000.0
CARD_0008,ACC_0726,xxxx-xxxx-xxxx-7007,Credit,Amex,2027-05-30,Active,100000.0
CARD_0009,ACC_0325,xxxx-xxxx-xxxx-5257,Debit,Visa,2027-12-08,Active,100000.0
CARD_0010,ACC_0253,xxxx-xxxx-xxxx-3075,Debit,Amex,2030-06-20,Active,100000.0
CARD_0011,ACC_0312,xxxx-xxxx-xxxx-5773,Debit,RuPay,2027-01-13,Active,100000.0
CARD_0012,ACC_0791,xxxx-xxxx-xxxx-2982,Debit,Amex,2028-02-12,Active,100000.0
CARD_0013,ACC_0015,xxxx-xxxx-xxxx-8808,Debit,RuPay,2027-01-24,Active,100000.0
CARD_0014,ACC_1058,xxxx-xxxx-xxxx-9224,Debit,Visa,2030-05-10,Active,100000.0
CARD_0015,ACC_0416,xxxx-xxxx-xxxx-8600,Debit,Visa,2027-04-18,Active,100000.0
CARD_0016,ACC_1144,xxxx-xxxx-xxxx-9546,Debit,Visa,2026-09-22,Active,100000.0
CARD_0017,ACC_1164,xxxx-xxxx-xxxx-4204,Debit,RuPay,2030-02-02,Active,100000.0
CARD_0018,ACC_0660,xxxx-xxxx-xxxx-6172,Debit,Mastercard,2027-03-31,Active,100000.0
CARD_0019,ACC_0887,xxxx-xxxx-xxxx-7622,Debit,Mastercard,2026-07-17,Active,100000.0
CARD_0020,ACC_0787,xxxx-xxxx-xxxx-9107,Debit,RuPay,2029-04-22,Active,100000.0
CARD_0021,ACC_0261,xxxx-xxxx-xxxx-7272,Credit,RuPay,2026-11-29,Active,100000.0
CARD_0022,ACC_0164,xxxx-xxxx-xxxx-8026,Debit,RuPay,2029-09-14,Active,100000.0
CARD_0023,ACC_0351,xxxx-xxxx-xxxx-1629,Credit,Visa,2029-03-10,Active,100000.0
CARD_0024,ACC_0038,xxxx-xxxx-xxxx-1756,Debit,Visa,2028-07-17,Active,100000.0
CARD_0025,ACC_0526,xxxx-xxxx-xxxx-8067,Debit,Amex,2029-03-13,Active,100000.0
CARD_0026,ACC_0138,xxxx-xxxx-xxxx-3102,Debit,Amex,2029-09-22,Active,100000.0
CARD_0027,ACC_0873,xxxx-xxxx-xxxx-7306,Debit,Mastercard,2028-04-22,Active,100000.0
CARD_0028,ACC_0556,xxxx-xxxx-xxxx-9667,Debit,RuPay,2029-07-20,Active,100000.0
CARD_0029,ACC_0853,xxxx-xxxx-xxxx-6371,Debit,RuPay,2027-05-29,Active,100000.0
CARD_0030,ACC_0785,xxxx-xxxx-xxxx-6230,Debit,Amex,2028-06-17,Active,100000.0
CARD_0031,ACC_0511,xxxx-xxxx-xxxx-7665,Debit,Mastercard,2029-10-08,Active,100000.0
CARD_0032,ACC_1054,xxxx-xxxx-xxxx-1101,Debit,Mastercard,2028-08-20,Active,100000.0
CARD_0033,ACC_0008,xxxx-xxxx-xxxx-5620,Debit,RuPay,2027-08-14,Active,100000.0
CARD_0034,ACC_0770,xxxx-xxxx-xxxx-9216,Debit,Mastercard,2029-12-19,Active,100000.0
CARD_0035,ACC_0667,xxxx-xxxx-xxxx-5687,Debit,Mastercard,2028-11-13,Active,100000.0
CARD_0036,ACC_0197,xxxx-xxxx-xxxx-1963,Debit,Amex,2027-12-09,Active,100000.0
CARD_0037,ACC_0176,xxxx-xxxx-xxxx-2130,Credit,Mastercard,2027-10-29,Active,100000.0
