alert_id,transaction_id,triggered_rules,risk_score,status,assigned_analyst,resolution_notes,created_at,resolved_at
1,TXN_0000487,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",86.91,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-06 21:46:33,2026-05-07 02:46:33
2,TXN_0000616,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",14.59,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-21 16:26:24,2026-04-22 02:26:24
3,TXN_0001368,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",72.61,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-21 02:43:30,2026-04-21 20:43:30
4,TXN_0001645,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",35.33,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-21 20:06:52,2026-04-22 01:06:52
5,TXN_0001859,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",28.79,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-04 19:29:30,2026-04-04 22:29:30
6,TXN_0002151,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",94.53,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-11 04:36:08,2026-04-11 16:36:08
7,TXN_0002466,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",11.63,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-26 21:08:17,2026-05-27 12:08:17
8,TXN_0002797,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",92.8,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-21 00:09:26,2026-04-21 17:09:26
9,TXN_0002837,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",93.39,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-09 21:53:42,2026-04-10 12:53:42
10,TXN_0002994,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",26.81,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-01 16:10:01,2026-05-01 22:10:01
11,TXN_0004192,"{""Velocity Check Violated"",""High Risk MCC Check""}",88.17,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-25 22:16:27,2026-05-26 00:16:27
12,TXN_0004413,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",22.89,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-24 11:41:02,2026-04-24 20:41:02
13,TXN_0004654,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",53.58,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-17 03:26:39,2026-05-17 20:26:39
14,TXN_0004739,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",58.36,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-16 21:18:38,2026-04-17 05:18:38
15,TXN_0005255,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",19.6,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-14 04:46:19,2026-04-14 12:46:19
16,TXN_0005346,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",97.19,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-30 01:03:27,2026-04-30 02:03:27
17,TXN_0005389,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",41.51,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-03 04:26:17,2026-05-03 08:26:17
18,TXN_0005542,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",23.56,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-22 18:01:38,2026-05-23 18:01:38
19,TXN_0005952,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",41.04,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-12 07:46:51,2026-05-12 19:46:51
20,TXN_0006368,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",93.32,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-03 09:10:06,2026-05-03 23:10:06
21,TXN_0006647,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",66.91,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-08 22:48:42,2026-05-09 05:48:42
22,TXN_0006743,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",38.37,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-27 04:14:35,2026-04-27 07:14:35
23,TXN_0007405,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",55.02,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-15 02:28:14,2026-04-15 09:28:14
24,TXN_0007408,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",50.21,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-01 05:07:59,2026-05-02 01:07:59
25,TXN_0007764,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",41.92,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-12 03:46:31,2026-05-12 11:46:31
26,TXN_0008019,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",94.87,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-22 17:41:20,2026-05-23 05:41:20
27,TXN_0008230,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",47.85,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-07 02:32:11,2026-04-07 09:32:11
