terminal_id,merchant_name,merchant_category_code,city,country,latitude,longitude,is_high_risk_flag
TERM_0001,PVR Cinemas #17,7996,Chennai,India,12.96479,77.785082,False
TERM_0002,Barbeque Nation #82,5812,Pune,India,12.800341,77.70184,False
TERM_0003,Axis ATM #61,6011,Kolkata,India,12.838725,77.516022,True
TERM_0004,Cafe Coffee Day #95,5814,Pune,India,12.911902,77.773166,False
TERM_0005,Starbucks #89,5814,Ahmedabad,India,12.918258,77.512444,False
TERM_0006,Axis ATM #70,6011,Pune,India,12.900274,77.728395,True
TERM_0007,KFC #41,5814,Chennai,India,13.02788,77.533495,False
TERM_0008,Toscano #63,5812,Chennai,India,12.970555,77.601471,False
TERM_0009,Razorpay Transfer #43,4829,Hyderabad,India,12.865427,77.754327,False
TERM_0010,Windmills Craftworks #36,5812,Hyderabad,India,12.923426,77.753976,False
TERM_0011,Innovative Film City #18,7996,Delhi,India,12.923932,77.797896,False
TERM_0012,Innovative Film City #96,7996,Pune,India,12.98866,77.512572,False
TERM_0013,KFC #28,5814,Mumbai,India,13.098528,77.680629,False
TERM_0014,ICICI ATM #19,6011,Ahmedabad,India,12.903336,77.753482,False
TERM_0015,Paytm Money #58,4829,Delhi,India,12.861252,77.705221,False
TERM_0016,Sapna Book House #97,5942,Bengaluru,India,12.807805,77.644983,False
TERM_0017,Crossword #59,5942,Pune,India,12.890315,77.561405,False
TERM_0018,Big Bazaar #32,5411,Ahmedabad,India,12.93374,77.784999,False
TERM_0019,Toscano #31,5812,Mumbai,India,12.922419,77.754069,False
TERM_0020,PVR Cinemas #40,7996,Hyderabad,India,13.000122,77.58781,False
TERM_0021,Barbeque Nation #11,5812,Hyderabad,India,12.895099,77.778964,False
TERM_0022,Toscano #84,5812,Pune,India,12.927739,77.659492,False
TERM_0023,Shoppers Stop #18,5311,Delhi,India,12.979465,77.63788,False
TERM_0024,Big Bazaar #76,5411,Hyderabad,India,12.964953,77.577974,False
TERM_0025,Instamojo #98,4829,Ahmedabad,India,13.049433,77.600402,False
TERM_0026,McDonalds #68,5814,Ahmedabad,India,13.010049,77.718102,False
TERM_0027,ICICI ATM #95,6011,Chennai,India,13.032957,77.646211,False
TERM_0028,Shoppers Stop #22,5311,Hyderabad,India,12.86514,77.673681,False
TERM_0029,Shoppers Stop #86,5311,Mumbai,India,12.844845,77.613107,False
TERM_0030,SBI ATM #25,6011,Ahmedabad,India,12.962291,77.766456,False
TERM_0031,D-Mart #11,5411,Ahmedabad,India,12.887675,77.634058,False
TERM_0032,Innovative Film City #98,7996,Delhi,India,12.925244,77.7704,False
TERM_0033,Big Bazaar #31,5411,Delhi,India,12.895289,77.633497,False
TERM_0034,PVR Cinemas #49,7996,Kolkata,India,12.850097,77.706893,False
TERM_0035,Paytm Money #88,4829,Hyderabad,India,12.805867,77.725864,True
TERM_0036,Crossword #29,5942,Ahmedabad,India,12.884989,77.534855,False
TERM_0037,Sapna Book House #87,5942,Delhi,India,13.076548,77.74698,False
TERM_0038,Decathlon #59,5311,Hyderabad,India,13.004339,77.626279,False
TERM_0039,Innovative Film City #11,7996,Delhi,India,12.818347,77.611872,False
TERM_0040,Axis ATM #44,6011,Hyderabad,India,13.012855,77.790764,False
TERM_0041,ICICI ATM #57,6011,Chennai,India,12.825636,77.508923,False
TERM_0042,Toscano #12,5812,Ahmedabad,India,12.896292,77.567521,False
TERM_0043,Windmills Craftworks #37,5812,Kolkata,India,12.903294,77.628817,False
TERM_0044,ICICI ATM #52,6011,Pune,India,12.907805,77.55526,False
TERM_0045,Innovative Film City #19,7996,Bengaluru,India,12.817489,77.555409,False
TERM_0046,Innovative Film City #92,7996,Hyderabad,India,12.909832,77.504042,False
TERM_0047,D-Mart #34,5411,Bengaluru,India,13.026516,77.586698,False
TERM_0048,Lifestyle #25,5311,Pune,India,12.844609,77.594904,False
TERM_0049,Sapna Book House #74,5942,Chennai,India,12.854539,77.549608,False
TERM_0050,HDFC ATM #83,6011,Pune,India,13.033087,77.553686,True
TERM_0051,Crossword #94,5942,Delhi,India,12.887469,77.525801,False
TERM_0052,Shoppers Stop #79,5311,Hyderabad,India,13.094127,77.707691,False
TERM_0053,Lifestyle #70,5311,Hyderabad,India,13.085713,77.656402,False
TERM_0054,KFC #99,5814,Delhi,India,12.988493,77.650555,False
TERM_0055,Wonderla #62,7996,Ahmedabad,India,12.977899,77.777615,False
TERM_0056,ICICI ATM #77,6011,Delhi,India,12.979217,77.785816,False
TERM_0057,Wonderla #61,7996,Ahmedabad,India,12.91218,77.70392,False
TERM_0058,PVR Cinemas #82,7996,Chennai,India,12.97098,77.762281,False
TERM_0059,Barbeque Nation #26,5812,Hyderabad,India,12.935661,77.544133,False
TERM_0060,Western Union #80,4829,Ahmedabad,India,12.846641,77.685982,False
TERM_0061,Windmills Craftworks #43,5812,Delhi,India,12.870792,77.718326,False
TERM_0062,Punjab Grill #18,5812,Delhi,India,13.097118,77.701947,False
TERM_0063,Reliance Fresh #11,5411,Pune,India,12.803379,77.570523,False
TERM_0064,Wonderla #73,7996,Kolkata,India,12.83549,77.73271,False
TERM_0065,SBI ATM #87,6011,Delhi,India,13.025824,77.508298,True
