sku_key,product_name,category,historical_mean,linest_slope,forecast_12m_sum,monthly_forecast_distribution
1,T-Shirts 697,Apparel,349.5,102.8,7411.0,"[np.float64(448.0), np.float64(478.8), np.float64(509.6), np.float64(540.5), np.float64(571.3), np.float64(602.2), np.float64(633.0), np.float64(663.8), np.float64(694.7), np.float64(725.5), np.float64(756.4), np.float64(787.2)]"
2,Mineral Water 526,Beverages,351.5,111.0,8250.6,"[np.float64(504.4), np.float64(537.7), np.float64(571.0), np.float64(604.3), np.float64(637.6), np.float64(670.9), np.float64(704.2), np.float64(737.5), np.float64(770.8), np.float64(804.1), np.float64(837.4), np.float64(870.7)]"
3,Caps 278,Apparel,380.2,124.5,8818.7,"[np.float64(529.4), np.float64(566.8), np.float64(604.2), np.float64(641.5), np.float64(678.9), np.float64(716.2), np.float64(753.6), np.float64(790.9), np.float64(828.3), np.float64(865.6), np.float64(903.0), np.float64(940.3)]"
4,Earphones 819,Electronics,365.0,116.6,8250.6,"[np.float64(495.2), np.float64(530.1), np.float64(565.1), np.float64(600.1), np.float64(635.1), np.float64(670.1), np.float64(705.0), np.float64(740.0), np.float64(775.0), np.float64(810.0), np.float64(845.0), np.float64(879.9)]"
5,Cushions 643,Home Decor,361.2,101.5,7676.2,"[np.float64(472.2), np.float64(502.6), np.float64(533.1), np.float64(563.6), np.float64(594.0), np.float64(624.4), np.float64(654.9), np.float64(685.4), np.float64(715.8), np.float64(746.3), np.float64(776.7), np.float64(807.2)]"
6,Spices 792,Grocery,367.0,120.8,8849.0,"[np.float64(538.1), np.float64(574.3), np.float64(610.6), np.float64(646.8), np.float64(683.1), np.float64(719.3), np.float64(755.5), np.float64(791.8), np.float64(828.0), np.float64(864.3), np.float64(900.5), np.float64(936.7)]"
7,Cooking Oil 321,Grocery,319.8,81.3,6323.4,"[np.float64(392.8), np.float64(417.2), np.float64(441.6), np.float64(466.0), np.float64(490.4), np.float64(514.8), np.float64(539.1), np.float64(563.5), np.float64(587.9), np.float64(612.3), np.float64(636.7), np.float64(661.1)]"
8,Wall Clocks 605,Home Decor,337.5,133.0,8859.0,"[np.float64(518.8), np.float64(558.7), np.float64(598.6), np.float64(638.5), np.float64(678.4), np.float64(718.3), np.float64(758.2), np.float64(798.1), np.float64(838.0), np.float64(877.9), np.float64(917.8), np.float64(957.7)]"
9,LED bulbs 618,Home Decor,382.2,113.9,8285.3,"[np.float64(502.5), np.float64(536.7), np.float64(570.8), np.float64(605.0), np.float64(639.2), np.float64(673.4), np.float64(707.5), np.float64(741.7), np.float64(775.9), np.float64(810.0), np.float64(844.2), np.float64(878.4)]"
10,Mineral Water 349,Beverages,348.8,96.1,7601.6,"[np.float64(474.9), np.float64(503.7), np.float64(532.6), np.float64(561.4), np.float64(590.2), np.float64(619.1), np.float64(647.9), np.float64(676.7), np.float64(705.5), np.float64(734.4), np.float64(763.2), np.float64(792.0)]"
11,Soft Drinks 553,Beverages,349.2,142.1,9894.2,"[np.float64(590.0), np.float64(632.7), np.float64(675.3), np.float64(717.9), np.float64(760.6), np.float64(803.2), np.float64(845.8), np.float64(888.5), np.float64(931.1), np.float64(973.7), np.float64(1016.4), np.float64(1059.0)]"
12,Vases 272,Home Decor,355.5,112.4,8028.3,"[np.float64(483.6), np.float64(517.3), np.float64(551.0), np.float64(584.7), np.float64(618.4), np.float64(652.2), np.float64(685.9), np.float64(719.6), np.float64(753.3), np.float64(787.0), np.float64(820.8), np.float64(854.5)]"
13,Vases 870,Home Decor,349.8,110.3,7921.8,"[np.float64(478.2), np.float64(511.2), np.float64(544.3), np.float64(577.4), np.float64(610.5), np.float64(643.6), np.float64(676.7), np.float64(709.8), np.float64(742.9), np.float64(776.0), np.float64(809.1), np.float64(842.1)]"
14,Earphones 482,Electronics,343.0,108.2,7610.1,"[np.float64(455.6), np.float64(488.1), np.float64(520.6), np.float64(553.0), np.float64(585.5), np.float64(618.0), np.float64(650.4), np.float64(682.9), np.float64(715.3), np.float64(747.8), np.float64(780.2), np.float64(812.7)]"
15,Soft Drinks 425,Beverages,372.5,116.6,8235.5,"[np.float64(493.9), np.float64(528.9), np.float64(563.9), np.float64(598.8), np.float64(633.8), np.float64(668.8), np.float64(703.8), np.float64(738.8), np.float64(773.7), np.float64(808.7), np.float64(843.7), np.float64(878.7)]"
16,Green Tea 593,Beverages,380.8,118.1,8585.6,"[np.float64(520.6), np.float64(556.0), np.float64(591.5), np.float64(626.9), np.float64(662.3), np.float64(697.8), np.float64(733.2), np.float64(768.6), np.float64(804.0), np.float64(839.5), np.float64(874.9), np.float64(910.3)]"
17,Socks 400,Apparel,355.8,123.3,8813.4,"[np.float64(531.0), np.float64(568.0), np.float64(605.0), np.float64(642.0), np.float64(679.0), np.float64(716.0), np.float64(752.9), np.float64(789.9), np.float64(826.9), np.float64(863.9), np.float64(900.9), np.float64(937.9)]"
18,Socks 789,Apparel,386.5,140.0,9607.2,"[np.float64(569.6), np.float64(611.6), np.float64(653.6), np.float64(695.6), np.float64(737.6), np.float64(779.6), np.float64(821.6), np.float64(863.6), np.float64(905.6), np.float64(947.6), np.float64(989.6), np.float64(1031.6)]"
19,Power Banks 759,Electronics,369.8,130.5,9071.2,"[np.float64(540.6), np.float64(579.8), np.float64(618.9), np.float64(658.0), np.float64(697.2), np.float64(736.4), np.float64(775.5), np.float64(814.6), np.float64(853.8), np.float64(893.0), np.float64(932.1), np.float64(971.3)]"
20,Fruit Juices 137,Beverages,354.5,107.2,7731.9,"[np.float64(467.4), np.float64(499.6), np.float64(531.8), np.float64(563.9), np.float64(596.1), np.float64(628.2), np.float64(660.4), np.float64(692.6), np.float64(724.7), np.float64(756.9), np.float64(789.1), np.float64(821.2)]"
21,LED bulbs 394,Home Decor,384.8,94.9,7159.1,"[np.float64(440.0), np.float64(468.5), np.float64(496.9), np.float64(525.4), np.float64(553.9), np.float64(582.4), np.float64(610.8), np.float64(639.3), np.float64(667.8), np.float64(696.2), np.float64(724.7), np.float64(753.2)]"
22,Wheat Flour 645,Grocery,401.8,128.1,9075.2,"[np.float64(544.9), np.float64(583.3), np.float64(621.8), np.float64(660.2), np.float64(698.6), np.float64(737.1), np.float64(775.5), np.float64(813.9), np.float64(852.3), np.float64(890.8), np.float64(929.2), np.float64(967.6)]"
23,Spices 278,Grocery,418.2,127.5,9705.4,"[np.float64(598.4), np.float64(636.6), np.float64(674.9), np.float64(713.2), np.float64(751.4), np.float64(789.7), np.float64(827.9), np.float64(866.2), np.float64(904.4), np.float64(942.6), np.float64(980.9), np.float64(1019.2)]"
24,Cooking Oil 696,Grocery,353.5,115.0,8247.0,"[np.float64(497.5), np.float64(532.0), np.float64(566.5), np.float64(601.0), np.float64(635.5), np.float64(670.0), np.float64(704.5), np.float64(739.0), np.float64(773.5), np.float64(808.0), np.float64(842.5), np.float64(877.0)]"
25,Caps 107,Apparel,374.2,92.5,7531.1,"[np.float64(475.0), np.float64(502.7), np.float64(530.4), np.float64(558.2), np.float64(586.0), np.float64(613.7), np.float64(641.5), np.float64(669.2), np.float64(697.0), np.float64(724.7), np.float64(752.5), np.float64(780.2)]"
26,Organic Rice 679,Grocery,389.5,111.0,8421.0,"[np.float64(518.6), np.float64(551.9), np.float64(585.2), np.float64(618.5), np.float64(651.8), np.float64(685.1), np.float64(718.4), np.float64(751.7), np.float64(785.0), np.float64(818.3), np.float64(851.6), np.float64(884.9)]"
27,Cushions 970,Home Decor,381.5,116.2,8626.0,"[np.float64(527.1), np.float64(562.0), np.float64(596.8), np.float64(631.7), np.float64(666.5), np.float64(701.4), np.float64(736.3), np.float64(771.1), np.float64(806.0), np.float64(840.8), np.float64(875.7), np.float64(910.6)]"
28,Denims 907,Apparel,399.8,104.7,8536.9,"[np.float64(538.6), np.float64(570.1), np.float64(601.5), np.float64(632.9), np.float64(664.3), np.float64(695.7), np.float64(727.1), np.float64(758.5), np.float64(789.9), np.float64(821.3), np.float64(852.8), np.float64(884.2)]"
29,LED bulbs 660,Home Decor,364.0,101.0,7453.7,"[np.float64(454.4), np.float64(484.8), np.float64(515.1), np.float64(545.4), np.float64(575.7), np.float64(606.0), np.float64(636.3), np.float64(666.6), np.float64(696.9), np.float64(727.2), np.float64(757.5), np.float64(787.8)]"
30,Green Tea 536,Beverages,372.8,109.9,7951.0,"[np.float64(481.2), np.float64(514.2), np.float64(547.2), np.float64(580.2), np.float64(613.1), np.float64(646.1), np.float64(679.1), np.float64(712.0), np.float64(745.0), np.float64(778.0), np.float64(811.0), np.float64(843.9)]"
