date_key,full_date,day_of_week,day_name,day_of_month,month_number,month_name,quarter,year,is_weekend,is_holiday,holiday_name
20260226,2026-02-26,4,Thursday,26,2,February,1,2026,False,False,None
20260227,2026-02-27,5,Friday,27,2,February,1,2026,False,False,None
20260228,2026-02-28,6,Saturday,28,2,February,1,2026,True,False,None
20260301,2026-03-01,7,Sunday,1,3,March,1,2026,True,False,None
20260302,2026-03-02,1,Monday,2,3,March,1,2026,False,False,None
20260303,2026-03-03,2,Tuesday,3,3,March,1,2026,False,False,None
20260304,2026-03-04,3,Wednesday,4,3,March,1,2026,False,False,None
20260305,2026-03-05,4,Thursday,5,3,March,1,2026,False,False,None
20260306,2026-03-06,5,Friday,6,3,March,1,2026,False,False,None
20260307,2026-03-07,6,Saturday,7,3,March,1,2026,True,False,None
20260308,2026-03-08,7,Sunday,8,3,March,1,2026,True,False,None
20260309,2026-03-09,1,Monday,9,3,March,1,2026,False,False,None
20260310,2026-03-10,2,Tuesday,10,3,March,1,2026,False,False,None
20260311,2026-03-11,3,Wednesday,11,3,March,1,2026,False,False,None
20260312,2026-03-12,4,Thursday,12,3,March,1,2026,False,False,None
20260313,2026-03-13,5,Friday,13,3,March,1,2026,False,False,None
20260314,2026-03-14,6,Saturday,14,3,March,1,2026,True,False,None
20260315,2026-03-15,7,Sunday,15,3,March,1,2026,True,False,None
20260316,2026-03-16,1,Monday,16,3,March,1,2026,False,False,None
20260317,2026-03-17,2,Tuesday,17,3,March,1,2026,False,False,None
20260318,2026-03-18,3,Wednesday,18,3,March,1,2026,False,False,None
20260319,2026-03-19,4,Thursday,19,3,March,1,2026,False,False,None
20260320,2026-03-20,5,Friday,20,3,March,1,2026,False,False,None
20260321,2026-03-21,6,Saturday,21,3,March,1,2026,True,False,None
20260322,2026-03-22,7,Sunday,22,3,March,1,2026,True,False,None
20260323,2026-03-23,1,Monday,23,3,March,1,2026,False,False,None
20260324,2026-03-24,2,Tuesday,24,3,March,1,2026,False,False,None
20260325,2026-03-25,3,Wednesday,25,3,March,1,2026,False,False,None
20260326,2026-03-26,4,Thursday,26,3,March,1,2026,False,False,None
20260327,2026-03-27,5,Friday,27,3,March,1,2026,False,False,None
20260328,2026-03-28,6,Saturday,28,3,March,1,2026,True,False,None
20260329,2026-03-29,7,Sunday,29,3,March,1,2026,True,False,None
20260330,2026-03-30,1,Monday,30,3,March,1,2026,False,False,None
20260331,2026-03-31,2,Tuesday,31,3,March,1,2026,False,False,None
20260401,2026-04-01,3,Wednesday,1,4,April,2,2026,False,False,None
20260402,2026-04-02,4,Thursday,2,4,April,2,2026,False,False,None
20260403,2026-04-03,5,Friday,3,4,April,2,2026,False,False,None
20260404,2026-04-04,6,Saturday,4,4,April,2,2026,True,False,None
20260405,2026-04-05,7,Sunday,5,4,April,2,2026,True,False,None
20260406,2026-04-06,1,Monday,6,4,April,2,2026,False,False,None
20260407,2026-04-07,2,Tuesday,7,4,April,2,2026,False,False,None
20260408,2026-04-08,3,Wednesday,8,4,April,2,2026,False,False,None
20260409,2026-04-09,4,Thursday,9,4,April,2,2026,False,False,None
20260410,2026-04-10,5,Friday,10,4,April,2,2026,False,False,None
20260411,2026-04-11,6,Saturday,11,4,April,2,2026,True,False,None
20260412,2026-04-12,7,Sunday,12,4,April,2,2026,True,False,None
20260413,2026-04-13,1,Monday,13,4,April,2,2026,False,False,None
20260414,2026-04-14,2,Tuesday,14,4,April,2,2026,False,False,None
20260415,2026-04-15,3,Wednesday,15,4,April,2,2026,False,False,None
20260416,2026-04-16,4,Thursday,16,4,April,2,2026,False,False,None
20260417,2026-04-17,5,Friday,17,4,April,2,2026,False,False,None
20260418,2026-04-18,6,Saturday,18,4,April,2,2026,True,False,None
20260419,2026-04-19,7,Sunday,19,4,April,2,2026,True,False,None
20260420,2026-04-20,1,Monday,20,4,April,2,2026,False,False,None
20260421,2026-04-21,2,Tuesday,21,4,April,2,2026,False,False,None
20260422,2026-04-22,3,Wednesday,22,4,April,2,2026,False,False,None
20260423,2026-04-23,4,Thursday,23,4,April,2,2026,False,False,None
20260424,2026-04-24,5,Friday,24,4,April,2,2026,False,False,None
20260425,2026-04-25,6,Saturday,25,4,April,2,2026,True,False,None
20260426,2026-04-26,7,Sunday,26,4,April,2,2026,True,False,None
20260427,2026-04-27,1,Monday,27,4,April,2,2026,False,False,None
20260428,2026-04-28,2,Tuesday,28,4,April,2,2026,False,False,None
20260429,2026-04-29,3,Wednesday,29,4,April,2,2026,False,False,None
20260430,2026-04-30,4,Thursday,30,4,April,2,2026,False,False,None
20260501,2026-05-01,5,Friday,1,5,May,2,2026,False,True,May Day
20260502,2026-05-02,6,Saturday,2,5,May,2,2026,True,False,None
20260503,2026-05-03,7,Sunday,3,5,May,2,2026,True,False,None
20260504,2026-05-04,1,Monday,4,5,May,2,2026,False,False,None
20260505,2026-05-05,2,Tuesday,5,5,May,2,2026,False,False,None
20260506,2026-05-06,3,Wednesday,6,5,May,2,2026,False,False,None
20260507,2026-05-07,4,Thursday,7,5,May,2,2026,False,False,None
20260508,2026-05-08,5,Friday,8,5,May,2,2026,False,False,None
20260509,2026-05-09,6,Saturday,9,5,May,2,2026,True,False,None
20260510,2026-05-10,7,Sunday,10,5,May,2,2026,True,False,None
20260511,2026-05-11,1,Monday,11,5,May,2,2026,False,False,None
20260512,2026-05-12,2,Tuesday,12,5,May,2,2026,False,False,None
20260513,2026-05-13,3,Wednesday,13,5,May,2,2026,False,False,None
20260514,2026-05-14,4,Thursday,14,5,May,2,2026,False,False,None
20260515,2026-05-15,5,Friday,15,5,May,2,2026,False,False,None
20260516,2026-05-16,6,Saturday,16,5,May,2,2026,True,False,None
20260517,2026-05-17,7,Sunday,17,5,May,2,2026,True,False,None
20260518,2026-05-18,1,Monday,18,5,May,2,2026,False,False,None
20260519,2026-05-19,2,Tuesday,19,5,May,2,2026,False,False,None
20260520,2026-05-20,3,Wednesday,20,5,May,2,2026,False,False,None
20260521,2026-05-21,4,Thursday,21,5,May,2,2026,False,False,None
20260522,2026-05-22,5,Friday,22,5,May,2,2026,False,False,None
20260523,2026-05-23,6,Saturday,23,5,May,2,2026,True,False,None
20260524,2026-05-24,7,Sunday,24,5,May,2,2026,True,False,None
20260525,2026-05-25,1,Monday,25,5,May,2,2026,False,False,None
20260526,2026-05-26,2,Tuesday,26,5,May,2,2026,False,False,None
20260527,2026-05-27,3,Wednesday,27,5,May,2,2026,False,False,None
