weather_key,date_key,region,avg_temperature_c,precipitation_mm,weather_condition
1,20260226,South,25.2,3.24,Overcast
2,20260226,West,30.6,0.0,Sunny
3,20260226,East,22.8,0.0,Rainy
4,20260226,North,22.8,2.21,Overcast
5,20260227,South,32.4,0.0,Overcast
6,20260227,West,23.4,0.0,Overcast
7,20260227,East,25.9,0.0,Rainy
8,20260227,North,25.4,0.0,Overcast
9,20260228,South,23.2,0.0,Overcast
10,20260228,West,31.0,0.0,Overcast
11,20260228,East,30.7,0.0,Overcast
12,20260228,North,33.9,0.0,Rainy
13,20260301,South,23.9,0.0,Overcast
14,20260301,West,33.6,0.0,Rainy
15,20260301,East,26.2,0.0,Sunny
16,20260301,North,27.7,0.0,Sunny
17,20260302,South,34.2,0.0,Overcast
18,20260302,West,29.9,0.0,Sunny
19,20260302,East,26.5,0.0,Rainy
20,20260302,North,25.3,0.0,Overcast
21,20260303,South,29.7,0.0,Sunny
22,20260303,West,34.1,0.0,Overcast
23,20260303,East,27.6,0.0,Sunny
24,20260303,North,26.4,0.0,Sunny
25,20260304,South,25.8,0.0,Rainy
26,20260304,West,31.6,0.0,Overcast
27,20260304,East,34.1,0.0,Rainy
28,20260304,North,23.8,0.0,Rainy
29,20260305,South,34.9,0.0,Overcast
30,20260305,West,35.2,0.0,Rainy
31,20260305,East,26.5,0.12,Sunny
32,20260305,North,24.2,0.0,Sunny
33,20260306,South,29.6,0.95,Rainy
34,20260306,West,25.6,0.0,Sunny
35,20260306,East,32.4,0.0,Rainy
36,20260306,North,26.5,0.0,Rainy
37,20260307,South,35.3,0.0,Overcast
38,20260307,West,24.4,0.0,Overcast
39,20260307,East,32.2,0.0,Rainy
40,20260307,North,24.8,0.0,Overcast
41,20260308,South,23.5,0.0,Overcast
42,20260308,West,31.3,1.49,Overcast
43,20260308,East,27.4,0.0,Rainy
44,20260308,North,29.6,1.25,Rainy
45,20260309,South,35.9,1.97,Rainy
46,20260309,West,27.9,0.0,Overcast
47,20260309,East,33.5,0.0,Rainy
48,20260309,North,34.8,0.0,Sunny
49,20260310,South,27.3,0.0,Rainy
50,20260310,West,34.3,0.0,Rainy
51,20260310,East,29.3,0.0,Sunny
52,20260310,North,25.5,0.0,Sunny
53,20260311,South,31.6,0.0,Sunny
54,20260311,West,32.5,0.0,Overcast
55,20260311,East,29.0,0.0,Rainy
56,20260311,North,28.3,0.0,Sunny
57,20260312,South,29.5,0.0,Overcast
58,20260312,West,35.0,0.0,Overcast
59,20260312,East,27.6,0.0,Overcast
60,20260312,North,34.8,0.31,Sunny
61,20260313,South,28.7,0.0,Sunny
62,20260313,West,27.8,0.0,Overcast
63,20260313,East,35.8,0.0,Rainy
64,20260313,North,27.1,0.0,Sunny
65,20260314,South,35.6,0.0,Rainy
66,20260314,West,23.9,0.0,Rainy
67,20260314,East,34.5,0.0,Rainy
68,20260314,North,36.0,0.0,Rainy
69,20260315,South,34.3,0.0,Overcast
70,20260315,West,23.6,0.0,Overcast
71,20260315,East,32.8,0.0,Rainy
72,20260315,North,30.3,0.0,Sunny
73,20260316,South,32.1,0.34,Overcast
74,20260316,West,34.7,0.0,Rainy
75,20260316,East,22.7,0.0,Rainy
76,20260316,North,26.4,0.0,Rainy
77,20260317,South,36.0,0.0,Overcast
78,20260317,West,29.2,0.0,Sunny
79,20260317,East,29.8,0.8,Sunny
80,20260317,North,28.1,0.0,Rainy
81,20260318,South,27.0,0.0,Sunny
82,20260318,West,27.7,0.0,Overcast
83,20260318,East,31.6,0.0,Overcast
84,20260318,North,24.4,0.0,Overcast
85,20260319,South,31.7,0.0,Sunny
86,20260319,West,33.0,0.0,Rainy
87,20260319,East,35.5,2.47,Sunny
88,20260319,North,23.1,1.09,Overcast
89,20260320,South,34.8,0.0,Rainy
90,20260320,West,23.1,0.0,Rainy
91,20260320,East,24.5,0.3,Rainy
92,20260320,North,31.2,0.0,Rainy
93,20260321,South,24.7,0.0,Overcast
94,20260321,West,28.9,0.0,Rainy
95,20260321,East,28.3,0.0,Sunny
96,20260321,North,35.0,0.0,Overcast
97,20260322,South,26.0,0.0,Rainy
98,20260322,West,24.6,0.0,Overcast
99,20260322,East,22.8,0.0,Rainy
