sales_key,date_key,sku_key,store_key,supplier_key,quantity_sold,unit_selling_price,discount_applied,is_promotion_active,competitor_price
1,20260226,11,1,2,10,697.43,0.0,False,718.81
2,20260226,13,1,7,7,282.5,0.0,False,272.54
3,20260226,16,1,10,3,512.21,153.66,True,542.42
4,20260226,26,1,3,1,37.29,0.0,False,35.65
5,20260226,27,1,10,8,592.88,0.0,False,615.37
6,20260226,33,1,7,1,340.22,0.0,False,312.4
7,20260226,36,1,8,5,496.39,248.19,True,463.51
8,20260226,64,1,6,4,176.89,0.0,False,191.77
9,20260226,67,1,6,10,468.26,0.0,False,493.86
10,20260226,84,1,10,8,390.41,312.33,True,418.77
11,20260226,100,1,6,10,53.92,0.0,False,51.53
12,20260226,114,1,5,4,217.44,0.0,False,207.91
13,20260226,118,1,8,1,288.84,0.0,False,261.49
14,20260226,119,1,3,5,297.48,0.0,False,304.04
15,20260226,122,1,8,5,402.17,0.0,False,371.89
16,20260226,124,1,8,1,146.99,0.0,False,161.66
17,20260226,142,1,3,10,101.55,0.0,False,98.79
18,20260226,147,1,4,5,163.8,81.9,True,166.35
19,20260226,150,1,1,2,501.62,0.0,False,455.61
20,20260226,7,2,6,6,557.67,334.6,True,510.72
21,20260226,17,2,9,7,345.67,0.0,False,325.24
22,20260226,20,2,1,2,697.92,0.0,False,733.76
23,20260226,22,2,4,6,471.29,0.0,False,472.73
24,20260226,28,2,8,8,623.27,0.0,False,657.86
25,20260226,29,2,8,8,245.81,0.0,False,230.39
26,20260226,30,2,9,10,733.32,0.0,False,760.1
27,20260226,45,2,2,10,336.44,336.44,True,329.74
28,20260226,54,2,5,2,329.46,65.89,True,338.07
29,20260226,55,2,5,3,249.41,0.0,False,228.86
30,20260226,66,2,2,2,63.66,0.0,False,65.51
31,20260226,70,2,8,6,236.35,0.0,False,227.67
32,20260226,80,2,9,9,502.44,0.0,False,476.15
33,20260226,82,2,4,9,493.24,0.0,False,539.23
34,20260226,95,2,2,9,154.99,0.0,False,162.45
35,20260226,99,2,9,2,436.57,0.0,False,438.03
36,20260226,103,2,2,8,183.2,0.0,False,192.71
37,20260226,110,2,1,7,206.67,0.0,False,211.63
38,20260226,116,2,4,3,506.55,0.0,False,485.73
39,20260226,130,2,10,7,243.53,0.0,False,264.32
40,20260226,148,2,3,4,304.97,0.0,False,333.99
41,20260226,7,3,2,1,557.67,0.0,False,613.07
42,20260226,15,3,10,10,275.78,0.0,False,277.71
43,20260226,17,3,4,8,345.67,0.0,False,342.87
44,20260226,18,3,10,4,606.6,242.64,True,610.04
45,20260226,22,3,1,8,471.29,0.0,False,482.42
46,20260226,39,3,6,9,328.67,0.0,False,337.07
47,20260226,57,3,7,2,99.94,0.0,False,91.25
48,20260226,60,3,3,10,115.47,0.0,False,119.42
49,20260226,66,3,4,4,63.66,0.0,False,59.95
50,20260226,68,3,4,7,417.57,0.0,False,432.98
51,20260226,69,3,3,9,763.32,0.0,False,766.23
52,20260226,72,3,9,4,174.33,0.0,False,174.3
53,20260226,73,3,4,1,537.63,0.0,False,492.39
54,20260226,74,3,5,6,184.46,0.0,False,188.42
55,20260226,77,3,6,4,583.84,0.0,False,580.26
56,20260226,91,3,1,4,300.54,0.0,False,288.85
57,20260226,94,3,2,5,554.62,0.0,False,514.9
58,20260226,99,3,8,2,436.57,0.0,False,458.49
59,20260226,106,3,6,9,520.47,468.42,True,502.61
60,20260226,121,3,7,2,636.43,0.0,False,673.53
61,20260226,132,3,10,4,557.78,0.0,False,579.17
62,20260226,133,3,8,10,82.08,0.0,False,78.0
63,20260226,135,3,1,10,707.96,0.0,False,652.82
64,20260226,143,3,3,5,640.58,0.0,False,687.68
65,20260226,145,3,10,6,250.74,0.0,False,253.59
66,20260226,2,4,7,6,449.68,0.0,False,416.47
67,20260226,7,4,10,5,557.67,278.83,True,573.45
68,20260226,18,4,2,9,606.6,0.0,False,576.03
69,20260226,25,4,4,5,153.52,76.76,True,165.67
70,20260226,32,4,9,2,608.03,0.0,False,607.74
71,20260226,39,4,5,3,328.67,0.0,False,356.56
72,20260226,46,4,2,2,93.46,0.0,False,98.94
73,20260226,50,4,2,4,332.1,0.0,False,346.49
74,20260226,64,4,6,3,176.89,0.0,False,160.13
75,20260226,76,4,6,1,202.69,0.0,False,186.33
76,20260226,78,4,4,8,173.01,0.0,False,174.33
77,20260226,82,4,7,5,493.24,0.0,False,499.24
78,20260226,83,4,9,10,361.54,0.0,False,346.27
79,20260226,94,4,6,2,554.62,0.0,False,591.11
80,20260226,98,4,5,1,618.22,0.0,False,593.27
