snapshot_key,date_key,employee_key,is_active,training_hours_completed,tenure_days,promotion_lag_months,performance_score
1,20250514,1,True,11.0,30,1,4
2,20250713,1,True,6.4,90,3,3
3,20251011,1,True,19.4,180,6,4
4,20260409,1,True,4.3,360,12,1
5,20260626,2,True,10.5,30,1,5
6,20260825,2,True,5.5,90,3,3
7,20261123,2,True,12.4,180,6,3
8,20270522,2,True,5.1,360,12,3
9,20231105,4,True,19.4,30,1,3
10,20240104,4,True,3.0,90,3,4
11,20240403,4,True,8.1,180,6,3
12,20240930,4,True,10.3,360,12,5
13,20250329,4,True,15.3,540,18,5
14,20231003,5,True,18.5,30,1,2
15,20231202,5,True,7.6,90,3,3
16,20240301,5,True,2.0,180,6,3
17,20240804,6,True,20.8,30,1,3
18,20241003,6,True,23.5,90,3,3
19,20250101,6,True,2.6,180,6,3
20,20250630,6,True,10.4,360,12,3
21,20251227,6,True,17.2,540,18,3
22,20220328,7,True,4.9,30,1,3
23,20220527,7,True,5.7,90,3,4
24,20220825,7,True,23.8,180,6,4
25,20230221,7,True,12.8,360,12,4
26,20230604,8,True,4.9,30,1,5
27,20230803,8,True,14.6,90,3,1
28,20231101,8,True,3.2,180,6,3
29,20240429,8,True,10.6,360,12,5
30,20241026,8,True,19.4,540,18,3
31,20250219,9,True,7.2,30,1,4
32,20250420,9,True,2.5,90,3,4
33,20250719,9,True,10.8,180,6,3
34,20260115,9,True,13.8,360,12,3
35,20240527,10,True,12.2,30,1,3
36,20240726,10,True,15.5,90,3,3
37,20241024,10,True,13.2,180,6,3
38,20250422,10,True,19.5,360,12,3
39,20250811,11,True,15.1,30,1,4
40,20251010,11,True,14.4,90,3,3
41,20260108,11,True,15.1,180,6,3
42,20260707,11,True,19.0,360,12,1
43,20240603,13,True,3.7,30,1,4
44,20240802,13,True,10.7,90,3,3
45,20241031,13,True,14.7,180,6,5
46,20250429,13,True,13.7,360,12,3
47,20251031,14,True,7.8,30,1,2
48,20251230,14,True,4.0,90,3,4
49,20260330,14,True,17.8,180,6,3
50,20260926,14,True,2.1,360,12,2
51,20241223,16,True,4.7,30,1,3
52,20250221,16,True,8.0,90,3,4
53,20250522,16,True,12.8,180,6,3
54,20251118,16,True,11.8,360,12,3
55,20260116,17,True,2.9,30,1,3
56,20260317,17,True,8.4,90,3,5
57,20260615,17,True,16.1,180,6,5
58,20261212,17,True,7.9,360,12,2
59,20240717,19,True,18.9,30,1,3
60,20240915,19,True,13.3,90,3,3
61,20241214,19,True,15.5,180,6,2
62,20250711,20,True,13.3,30,1,3
63,20250909,20,True,17.5,90,3,4
64,20251208,20,True,16.4,180,6,1
65,20221224,21,True,23.6,30,1,5
66,20230222,21,True,4.0,90,3,3
67,20230523,21,True,5.7,180,6,3
68,20231119,21,True,7.2,360,12,3
69,20240517,21,True,17.4,540,18,4
70,20230627,22,True,5.3,30,1,4
71,20230826,22,True,8.1,90,3,3
72,20231124,22,True,12.6,180,6,3
73,20240522,22,True,5.2,360,12,4
74,20241213,23,True,7.0,30,1,3
75,20250211,23,True,4.1,90,3,5
76,20250512,23,True,5.6,180,6,4
77,20251108,23,True,20.0,360,12,3
78,20260507,23,True,20.7,540,18,5
79,20241225,24,True,12.3,30,1,2
80,20250223,24,True,9.6,90,3,3
81,20250524,24,True,3.5,180,6,3
82,20251120,24,True,8.7,360,12,3
83,20260519,24,True,16.6,540,18,3
84,20240323,26,True,8.0,30,1,5
