ticket_id,customer_id,created_timestamp,issue_category,ticket_status,customer_sentiment_rating
TICKET_0001,CUST_0820,2026-04-13 00:00:00,Delivery Delay,Resolved,2
TICKET_0002,CUST_0454,2026-02-23 00:00:00,Delivery Delay,Resolved,5
TICKET_0003,CUST_0411,2026-04-22 00:00:00,Payment Failed,Resolved,5
TICKET_0004,CUST_0456,2026-03-16 00:00:00,Refund Status,Resolved,2
TICKET_0005,CUST_0403,2026-02-15 00:00:00,Refund Status,In Progress,5
TICKET_0006,CUST_0443,2026-04-26 00:00:00,Payment Failed,Resolved,4
TICKET_0007,CUST_0615,2026-02-24 00:00:00,Payment Failed,In Progress,2
TICKET_0008,CUST_0912,2026-04-25 00:00:00,Refund Status,Resolved,3
TICKET_0009,CUST_0149,2026-04-08 00:00:00,Delivery Delay,In Progress,4
TICKET_0010,CUST_0022,2026-03-04 00:00:00,Delivery Delay,Resolved,3
TICKET_0011,CUST_0500,2026-05-15 00:00:00,Account Lock,Resolved,1
TICKET_0012,CUST_0736,2026-04-16 00:00:00,Refund Status,Resolved,3
TICKET_0013,CUST_0131,2026-04-21 00:00:00,Payment Failed,Resolved,3
TICKET_0014,CUST_0480,2026-03-17 00:00:00,Payment Failed,Resolved,5
TICKET_0015,CUST_0662,2026-04-28 00:00:00,Refund Status,Resolved,1
TICKET_0016,CUST_0573,2026-03-08 00:00:00,Delivery Delay,In Progress,2
TICKET_0017,CUST_0357,2026-02-18 00:00:00,Refund Status,Open,1
TICKET_0018,CUST_0680,2026-02-16 00:00:00,Delivery Delay,Resolved,4
TICKET_0019,CUST_0947,2026-03-28 00:00:00,Payment Failed,Resolved,3
TICKET_0020,CUST_0482,2026-04-28 00:00:00,Payment Failed,Resolved,5
TICKET_0021,CUST_0798,2026-05-09 00:00:00,Payment Failed,In Progress,4
TICKET_0022,CUST_0659,2026-03-03 00:00:00,Account Lock,Resolved,1
TICKET_0023,CUST_0639,2026-04-20 00:00:00,Refund Status,Resolved,1
TICKET_0024,CUST_0726,2026-04-04 00:00:00,Refund Status,Resolved,5
