touchpoint_id,customer_id,channel_id,session_id,touchpoint_timestamp,utm_source,utm_medium,utm_campaign,landing_page,device_category,duration_seconds
TP_000001,CUST_0001,6,SESS_516736,2026-02-26 07:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_1,Desktop,589
TP_000002,CUST_0001,2,SESS_516736,2026-02-24 05:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_6,Mobile,273
TP_000003,CUST_0001,2,SESS_516736,2026-02-28 09:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_7,Mobile,14
TP_000004,CUST_0001,5,SESS_516736,2026-02-25 13:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_4,Mobile,375
TP_000005,CUST_0001,2,SESS_276027,2026-03-08 18:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_4,Mobile,201
TP_000006,CUST_0001,2,SESS_276027,2026-03-03 15:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_9,Tablet,339
TP_000007,CUST_0001,7,SESS_276027,2026-03-04 01:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_8,Mobile,520
TP_000008,CUST_0001,7,SESS_276027,2026-03-04 16:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_6,Desktop,149
TP_000009,CUST_0001,3,SESS_276027,2026-02-24 16:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_1,Mobile,14
TP_000010,CUST_0001,6,SESS_225962,2026-04-16 04:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_3,Desktop,492
TP_000011,CUST_0001,1,SESS_225962,2026-04-18 18:00:00,googleads,paidsearch,Campaign_Promo_Brand,/promo-deals/page_10,Mobile,143
TP_000012,CUST_0001,4,SESS_225962,2026-04-22 04:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_4,Mobile,212
TP_000013,CUST_0001,6,SESS_225962,2026-04-11 20:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_4,Desktop,584
TP_000014,CUST_0001,2,SESS_225962,2026-04-18 04:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_8,Mobile,426
TP_000015,CUST_0002,6,SESS_793201,2026-02-01 01:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_5,Desktop,190
TP_000016,CUST_0002,2,SESS_793201,2026-02-01 06:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_4,Mobile,499
TP_000017,CUST_0002,4,SESS_793201,2026-02-05 21:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_8,Mobile,168
TP_000018,CUST_0002,1,SESS_793201,2026-01-25 19:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_10,Desktop,309
TP_000019,CUST_0003,2,SESS_385650,2026-04-17 09:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_2,Tablet,557
TP_000020,CUST_0003,5,SESS_385650,2026-04-08 16:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_4,Desktop,313
TP_000021,CUST_0003,7,SESS_385650,2026-04-16 02:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_6,Mobile,391
TP_000022,CUST_0003,6,SESS_340136,2026-05-04 02:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_10,Mobile,498
