order_id,customer_id,session_id,order_timestamp,subtotal_amount,tax_amount,discount_amount,total_order_amount,payment_method
ORDER_00001,CUST_0001,SESS_516736,2026-03-03 00:00:00,11592.73,579.64,0.0,12172.37,Credit Card
ORDER_00002,CUST_0001,SESS_276027,2026-03-11 00:00:00,6820.26,289.86,1023.04,6087.08,PayPal
ORDER_00003,CUST_0001,SESS_225962,2026-04-26 00:00:00,2854.06,142.7,0.0,2996.76,UPI
ORDER_00004,CUST_0002,SESS_793201,2026-02-07 00:00:00,9771.21,488.56,0.0,10259.77,UPI
ORDER_00005,CUST_0003,SESS_385650,2026-04-19 00:00:00,9189.04,459.45,0.0,9648.49,UPI
ORDER_00006,CUST_0003,SESS_340136,2026-05-16 00:00:00,2161.75,91.87,324.26,1929.36,PayPal
ORDER_00007,CUST_0004,SESS_653067,2026-04-22 00:00:00,845.05,42.25,0.0,887.3,NetBanking
ORDER_00008,CUST_0006,SESS_288522,2026-01-14 00:00:00,9559.56,477.98,0.0,10037.54,UPI
ORDER_00009,CUST_0007,SESS_587431,2026-03-11 00:00:00,1338.64,66.93,0.0,1405.57,PayPal
ORDER_00010,CUST_0007,SESS_234666,2026-04-28 00:00:00,6589.51,329.48,0.0,6918.99,Credit Card
ORDER_00011,CUST_0007,SESS_242534,2026-05-15 00:00:00,4748.61,237.43,0.0,4986.04,NetBanking
ORDER_00012,CUST_0008,SESS_660210,2026-02-09 00:00:00,1923.96,96.2,0.0,2020.16,NetBanking
ORDER_00013,CUST_0008,SESS_332307,2026-03-18 00:00:00,9813.24,490.66,0.0,10303.9,NetBanking
ORDER_00014,CUST_0009,SESS_378095,2026-01-19 00:00:00,9898.92,494.95,0.0,10393.87,NetBanking
ORDER_00015,CUST_0010,SESS_696145,2026-02-22 00:00:00,9881.89,494.09,0.0,10375.98,PayPal
ORDER_00016,CUST_0010,SESS_961170,2026-03-26 00:00:00,8555.18,427.76,0.0,8982.94,Credit Card
